NAME      IC_2165
Ne5_3426A       55.88
O2_3726A        18.39  
O2_3729A        9.36
Ne3_3869A       85.70  
S2_4069A        0.87  
S2_4076A        0.71
O3_4363A        20.75  
Fe3_4659A       0.17
He2r_4686A      63.48
Fe3_4701A       0.14
Ar4_4711A       5.33
Ar4_4740A       5.86
H1r_4861A       100
O3_4959A        386.10
O3_5007A        1158.31
Ar3_5192A       0.11
N1_5198A        0.16
N1_5200A        0.11
Fe2_5272A       0.05
Cl4_5323A       0.07
Cl3_5518A       0.33
Cl3_5538A       0.37
O1_5577A        1.21
N2_5755A        0.47
He1r_5876A      7.24
O1_6300A        1.20
S3_6312A        1.32
Ar5_6435A       1.32
N2_6584A        17.12
S2_6716A        0.86
S2_6731A        1.34
Ar5_7005A       2.08
Ar3_7136A       7.12
Ar4_7170A       0.31
Ar4_7237A       0.26
Ar4_7263A       0.23
Cl4_7531A       0.34
O2_7319A+       1.14
O2_7330A+       0.96
Ar3_7751A       1.50
Cl4_8046A       0.73
Cl3_8500A       0.37
S3_9069A        5.96
